signal_id,customer_id,month,monthly_inflow,monthly_outflow,closing_balance,balance_volatility,inflow_drop_flag,spending_shock_flag,missed_bill_payments,upi_transaction_count,new_loan_flag,stress_score
SIG00000001,CUST000001,2022-01,13401.48,8668.05,21811.58,Low,0,0,0,0,0,33
SIG00000002,CUST000001,2022-02,16853.38,14491.43,24173.53,Low,0,1,0,2,0,12
SIG00000003,CUST000001,2022-03,14682.57,9617.4,29238.71,Low,0,0,0,3,0,25
SIG00000004,CUST000001,2022-04,14816.98,11609.93,32445.75,Low,0,0,0,1,0,13
SIG00000005,CUST000001,2022-05,14387.11,12021.19,34811.67,Low,0,0,0,3,0,8
SIG00000006,CUST000001,2022-06,10921.95,8543.84,37189.78,Low,0,0,0,1,0,8
SIG00000007,CUST000001,2022-07,14635.83,9210.35,42615.26,Low,0,0,0,2,0,17
SIG00000008,CUST000001,2022-08,18369.79,13750.77,47234.29,Low,0,0,0,2,0,13
SIG00000009,CUST000001,2022-09,13031.77,9852.29,50413.78,Low,0,0,0,4,0,8
SIG00000010,CUST000001,2022-10,18718.54,16256.08,52876.23,Low,0,1,0,3,0,5
SIG00000011,CUST000001,2022-11,15804.99,11325.9,57355.32,Low,0,0,0,3,0,10
SIG00000012,CUST000001,2022-12,15357.56,11714.88,60997.99,Low,0,0,0,2,0,7
SIG00000013,CUST000001,2023-01,17488.43,14317.81,64168.61,Low,0,0,0,2,0,6
SIG00000014,CUST000001,2023-02,18225.78,11569.01,70825.38,Low,0,0,0,3,0,12
SIG00000015,CUST000001,2023-03,13414.86,10985.18,73255.05,Low,0,0,0,3,0,4
SIG00000016,CUST000001,2023-04,13198.03,10742.85,75710.24,Low,0,0,0,5,0,4
SIG00000017,CUST000001,2023-05,16294.01,11313.04,80691.21,Low,0,0,0,4,0,7
SIG00000018,CUST000001,2023-06,15362.61,10272.05,85781.77,Low,0,0,0,1,0,7
SIG00000019,CUST000001,2023-07,17293.79,14897.53,88178.03,Low,0,0,0,6,0,3
SIG00000020,CUST000001,2023-08,18878.24,11950.22,95106.05,Low,0,0,0,4,0,9
SIG00000021,CUST000001,2023-09,9678.12,6451.75,98332.42,Low,0,0,0,0,0,4
SIG00000022,CUST000001,2023-10,16917.6,16041.85,99208.17,Low,0,1,0,7,1,1
SIG00000023,CUST000001,2023-11,11454.77,12933.69,97729.25,Low,0,0,0,0,0,1
SIG00000024,CUST000001,2023-12,16020.03,18204.74,95544.54,Low,0,0,0,1,0,2
SIG00000025,CUST000002,2022-01,159450.63,86656.39,222035.92,Medium,0,0,0,27,0,39
SIG00000026,CUST000002,2022-02,167480.5,122007.18,267509.24,Low,0,0,0,29,0,16
SIG00000027,CUST000002,2022-03,185384.35,127926.12,324967.47,Low,0,0,0,38,0,17
SIG00000028,CUST000002,2022-04,139786.99,104922.82,359831.63,Low,0,0,0,25,0,8
SIG00000029,CUST000002,2022-05,164198.11,115475.49,408554.25,Low,0,0,0,28,0,10
SIG00000030,CUST000002,2022-06,154392.59,85272.56,477674.28,Low,0,0,0,34,0,13
SIG00000031,CUST000002,2022-07,149844.02,116489.96,511028.35,Low,0,0,0,37,0,5
SIG00000032,CUST000002,2022-08,157341.99,109823.95,558546.39,Low,0,0,0,37,0,7
SIG00000033,CUST000002,2022-09,136443.86,72032.92,622957.33,Low,0,0,0,29,0,9
SIG00000034,CUST000002,2022-10,165579.74,100136.48,688400.59,Low,0,0,0,41,0,8
SIG00000035,CUST000002,2022-11,151522.29,83108.25,756814.63,Low,0,0,0,39,0,7
SIG00000036,CUST000002,2022-12,166353.93,83635.96,839532.6,Low,0,0,0,24,0,8
SIG00000037,CUST000002,2023-01,192911.39,134186.92,898257.07,Low,0,1,0,33,0,5
SIG00000038,CUST000002,2023-02,170281.48,97260.48,971278.08,Low,0,0,0,31,0,6
SIG00000039,CUST000002,2023-03,178240.38,124284.14,1025234.31,Low,0,0,0,37,0,4
SIG00000040,CUST000002,2023-04,169288.91,103319.52,1091203.71,Low,0,0,0,30,0,5
SIG00000041,CUST000002,2023-05,161324.5,123834.94,1128693.27,Low,0,0,0,34,0,2
SIG00000042,CUST000002,2023-06,168124.38,109413.86,1187403.79,Low,0,0,0,35,0,4
SIG00000043,CUST000002,2023-07,172749.97,100926.01,1259227.75,Low,0,0,0,32,0,4
SIG00000044,CUST000002,2023-08,148642.5,115717.53,1292152.73,Low,0,0,0,26,0,2
SIG00000045,CUST000002,2023-09,155318.65,85556.94,1361914.44,Low,0,0,0,32,0,4
SIG00000046,CUST000002,2023-10,176501.16,125105.6,1413310.0,Low,0,0,0,36,0,3
SIG00000047,CUST000002,2023-11,163524.35,124803.73,1452030.61,Low,0,0,0,37,0,2
SIG00000048,CUST000002,2023-12,143995.82,102344.34,1493682.09,Low,0,0,0,26,0,2
SIG00000049,CUST000003,2022-01,89664.16,69397.57,169413.94,Low,0,0,0,18,0,16
SIG00000050,CUST000003,2022-02,89253.09,70715.5,187951.52,Low,0,0,0,20,1,13
SIG00000051,CUST000003,2022-03,89036.33,45956.6,231031.25,Low,0,0,0,16,0,27
SIG00000052,CUST000003,2022-04,88548.04,58477.14,261102.15,Low,0,0,0,18,0,15
SIG00000053,CUST000003,2022-05,83407.95,28080.86,316429.24,Low,0,0,0,21,0,25
SIG00000054,CUST000003,2022-06,87712.85,34190.15,369951.94,Low,0,0,0,18,0,20
SIG00000055,CUST000003,2022-07,91797.14,56732.87,405016.21,Low,0,1,0,9,1,11
