customer_id,age,gender,city_tier,city_name,employment_type,monthly_income,credit_score,existing_loans,years_employed,education_level,acquisition_channel,onboarding_date
CUST000001,25,Male,Tier 3,Pudukkottai,Gig Worker,16084,568,1,12,Graduate,Organic,2023-05-12
CUST000002,31,Male,Tier 2,Tiruvottiyur,Business Owner,162578,745,0,33,Graduate,Referral,2022-03-28
CUST000003,40,Male,Tier 2,Nandyal,Self Employed,87015,560,0,20,Graduate,Organic,2022-01-20
CUST000004,34,Female,Tier 1,Anand,Gig Worker,20916,601,0,5,Graduate,Social Media,2023-07-30
CUST000005,26,Male,Tier 3,Chapra,Salaried,76553,772,0,23,Postgraduate,DSA Agent,2022-08-02
CUST000006,28,Female,Tier 2,Bidar,Salaried,60679,725,0,2,School,Social Media,2022-07-10
CUST000007,37,Male,Tier 1,Durg,Salaried,101541,835,0,3,Graduate,Social Media,2022-06-23
CUST000008,19,Female,Tier 2,Rourkela,Student,0,429,1,0,Postgraduate,DSA Agent,2022-04-19
CUST000009,37,Female,Tier 1,Kavali,Self Employed,28212,680,0,4,Postgraduate,Referral,2023-07-27
CUST000010,32,Female,Tier 2,Phusro,Self Employed,45089,593,0,6,Graduate,Organic,2022-03-21
CUST000011,37,Female,Tier 2,Ghaziabad,Salaried,146449,708,0,21,Graduate,Organic,2023-06-10
CUST000012,30,Female,Tier 2,Adoni,Business Owner,79279,618,0,5,Graduate,Organic,2023-07-30
CUST000013,18,Female,Tier 3,Chapra,Student,17376,401,0,0,Graduate,Social Media,2023-11-24
CUST000014,41,Male,Tier 1,Jalna,Salaried,49085,755,1,24,School,Organic,2023-02-28
CUST000015,30,Female,Tier 1,Baranagar,Salaried,126652,831,1,9,School,Social Media,2022-03-09
CUST000016,35,Male,Tier 2,Gwalior,Salaried,45665,721,1,13,Graduate,Referral,2023-04-04
CUST000017,43,Male,Tier 2,Dibrugarh,Salaried,114600,754,1,12,Graduate,DSA Agent,2022-11-24
