loan_id,customer_id,product_type,default_flag,days_to_default,default_month,total_amount_paid,total_amount_pending,recovery_amount,closure_date,write_off_flag
LOAN0000001,CUST006553,BNPL,0,,,29782.98,0.0,0.0,2023-10-02,0
LOAN0000002,CUST000807,Personal Loan,0,,,217439.56,0.0,0.0,2025-12-31,0
LOAN0000003,CUST002426,Personal Loan,0,,,24925.6,0.0,0.0,2025-11-07,0
LOAN0000004,CUST007746,BNPL,1,240.0,8.0,7214.24,0.0,0.0,2023-12-07,1
LOAN0000005,CUST005293,BNPL,0,,,43228.32,0.0,0.0,2024-03-26,0
LOAN0000006,CUST009283,Personal Loan,0,,,585449.8,0.0,0.0,2026-01-22,0
LOAN0000007,CUST004289,Personal Loan,0,,,486591.5,0.0,0.0,2026-07-13,0
LOAN0000008,CUST008710,Personal Loan,0,,,602074.2,0.0,0.0,2026-02-24,0
LOAN0000009,CUST004489,Personal Loan,0,,,129421.95,0.0,0.0,2025-02-28,0
LOAN0000010,CUST009793,Personal Loan,0,,,437249.36,0.0,0.0,2024-07-03,0
LOAN0000011,CUST009600,Personal Loan,0,,,46193.03,0.0,0.0,2024-09-10,0
LOAN0000012,CUST003292,Education Loan,0,,,948125.64,0.0,0.0,2025-07-06,0
LOAN0000013,CUST008870,Personal Loan,0,,,489116.14,0.0,0.0,2026-07-18,0
LOAN0000014,CUST008488,Personal Loan,0,,,120513.9,0.0,0.0,2025-10-15,0
LOAN0000015,CUST002111,Personal Loan,0,,,635930.96,0.0,0.0,2025-02-16,0
LOAN0000016,CUST006256,Personal Loan,0,,,403675.44,0.0,0.0,2024-07-26,0
LOAN0000017,CUST000737,Personal Loan,1,60.0,2.0,8909.0,186411.0,67218.25,2023-06-13,1
LOAN0000018,CUST008378,Personal Loan,0,,,382376.92,0.0,0.0,2026-08-09,0
LOAN0000019,CUST001757,SME Loan,0,,,231812.92,0.0,0.0,2025-02-09,0
LOAN0000020,CUST000717,Education Loan,0,,,565642.11,0.0,0.0,2026-01-10,0
LOAN0000021,CUST004009,BNPL,0,,,38001.36,0.0,0.0,2022-12-06,0
LOAN0000022,CUST005781,Personal Loan,0,,,55973.6,0.0,0.0,2026-01-16,0
LOAN0000023,CUST008560,Education Loan,1,90.0,3.0,61538.7,907464.3,283207.51,2023-10-16,1
LOAN0000024,CUST009743,Education Loan,0,,,1138103.2,0.0,0.0,2026-11-15,0
LOAN0000025,CUST004395,SME Loan,1,120.0,4.0,69743.73,528081.27,175014.76,2023-11-15,1
LOAN0000026,CUST000612,Personal Loan,1,60.0,2.0,13407.22,115595.78,34639.19,2022-08-13,1
